,dMethod,Learning Rate,Epoch,Epsilon,Beta,Decay,Akurasi
0,cosine,0.25,2,0.25,0.25,0.15,0.4879778847760378
1,cosine,0.25,2,0.25,0.25,0.25,0.47242432067074747
2,cosine,0.25,2,0.25,0.3,0.15,0.4879778847760378
3,cosine,0.25,2,0.25,0.3,0.25,0.47242432067074747
4,cosine,0.25,2,0.35,0.25,0.15,0.5244163616203654
5,cosine,0.25,2,0.35,0.25,0.25,0.5334538329510762
6,cosine,0.25,2,0.35,0.3,0.15,0.5244163616203654
7,cosine,0.25,2,0.35,0.3,0.25,0.5334538329510762
8,cosine,0.25,3,0.25,0.25,0.15,0.5056579127238483
9,cosine,0.25,3,0.25,0.25,0.25,0.5039567416498322
10,cosine,0.25,3,0.25,0.3,0.15,0.5056579127238483
11,cosine,0.25,3,0.25,0.3,0.25,0.5039567416498322
12,cosine,0.25,3,0.35,0.25,0.15,0.559153667390677
13,cosine,0.25,3,0.35,0.25,0.25,0.5586524294849401
14,cosine,0.25,3,0.35,0.3,0.15,0.559153667390677
15,cosine,0.25,3,0.35,0.3,0.25,0.5586524294849401
16,cosine,0.35,2,0.25,0.25,0.15,0.5358233212327415
17,cosine,0.35,2,0.25,0.25,0.25,0.5540653431960751
18,cosine,0.35,2,0.25,0.3,0.15,0.5358233212327415
19,cosine,0.35,2,0.25,0.3,0.25,0.5540653431960751
20,cosine,0.35,2,0.35,0.25,0.15,0.5406838100156447
21,cosine,0.35,2,0.35,0.25,0.25,0.5436912374500661
22,cosine,0.35,2,0.35,0.3,0.15,0.5406838100156447
23,cosine,0.35,2,0.35,0.3,0.25,0.5436912374500661
24,cosine,0.35,3,0.25,0.25,0.15,0.5622674180172244
25,cosine,0.35,3,0.25,0.25,0.25,0.5626471437033886
26,cosine,0.35,3,0.25,0.3,0.15,0.5622674180172244
27,cosine,0.35,3,0.25,0.3,0.25,0.5626471437033886
28,cosine,0.35,3,0.35,0.25,0.15,0.5626775217582818
29,cosine,0.35,3,0.35,0.25,0.25,0.5621003387153121
30,cosine,0.35,3,0.35,0.3,0.15,0.5626775217582818
31,cosine,0.35,3,0.35,0.3,0.25,0.5621003387153121
32,euclidean,0.25,2,0.25,0.25,0.15,0.3272475963364066
33,euclidean,0.25,2,0.25,0.25,0.25,0.3272475963364066
34,euclidean,0.25,2,0.25,0.3,0.15,0.3272475963364066
35,euclidean,0.25,2,0.25,0.3,0.25,0.3272475963364066
36,euclidean,0.25,2,0.35,0.25,0.15,0.322113705059465
37,euclidean,0.25,2,0.35,0.25,0.25,0.3221288940869116
38,euclidean,0.25,2,0.35,0.3,0.15,0.322113705059465
39,euclidean,0.25,2,0.35,0.3,0.25,0.3221288940869116
40,euclidean,0.25,3,0.25,0.25,0.15,0.3272475963364066
41,euclidean,0.25,3,0.25,0.25,0.25,0.3272475963364066
42,euclidean,0.25,3,0.25,0.3,0.15,0.3272475963364066
43,euclidean,0.25,3,0.25,0.3,0.25,0.3272475963364066
44,euclidean,0.25,3,0.35,0.25,0.15,0.322113705059465
45,euclidean,0.25,3,0.35,0.25,0.25,0.3221288940869116
46,euclidean,0.25,3,0.35,0.3,0.15,0.322113705059465
47,euclidean,0.25,3,0.35,0.3,0.25,0.3221288940869116
48,euclidean,0.35,2,0.25,0.25,0.15,0.35060832054923524
49,euclidean,0.35,2,0.25,0.25,0.25,0.35060832054923524
50,euclidean,0.35,2,0.25,0.3,0.15,0.35060832054923524
51,euclidean,0.35,2,0.25,0.3,0.25,0.35060832054923524
52,euclidean,0.35,2,0.35,0.25,0.15,0.3221592721418048
53,euclidean,0.35,2,0.35,0.25,0.25,0.3221592721418048
54,euclidean,0.35,2,0.35,0.3,0.15,0.3221592721418048
55,euclidean,0.35,2,0.35,0.3,0.25,0.3221592721418048
56,euclidean,0.35,3,0.25,0.25,0.15,0.35060832054923524
57,euclidean,0.35,3,0.25,0.25,0.25,0.35060832054923524
58,euclidean,0.35,3,0.25,0.3,0.15,0.35060832054923524
59,euclidean,0.35,3,0.25,0.3,0.25,0.35060832054923524
60,euclidean,0.35,3,0.35,0.25,0.15,0.3221592721418048
61,euclidean,0.35,3,0.35,0.25,0.25,0.3221592721418048
62,euclidean,0.35,3,0.35,0.3,0.15,0.3221592721418048
63,euclidean,0.35,3,0.35,0.3,0.25,0.3221592721418048
